,features,fold,n_splits,grid,mae,mse,rmse
10,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",3,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",19534.792920892014,805049885.2037871,28373.401015806812
11,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",2,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",19630.35099782841,795524878.0158126,28205.050576373953
12,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",1,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",19662.012653002952,804892853.9673308,28370.633654667123
13,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",1,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",19998.193354173403,821911303.5028455,28668.995509135744
14,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",2,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",19906.122139465937,817783394.6541535,28596.912327280257
15,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",0,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200}",20016.03666935797,815743278.8367033,28561.21984153869
16,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",4,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 50}",20086.382107935842,834264411.2258315,28883.635699576178
17,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",4,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",19612.407501246504,802453604.5701325,28327.612052026772
18,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",3,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 50}",19968.247447868194,833207953.843107,28865.34174131855
19,"['Unnamed: 0', 'title', 'permalink', 'city', 'state', 'latitude', 'longitude', 'neighborhood', 'seller_id', 'seller_city', 'seller_state', 'real_estate_agency', 'seller_cancelations', 'seller_claims', 'seller_handling_time', 'seller_sales', 'currency_id', 'item_condition', 'has_air_conditioning', 'bedrooms', 'covered_area', 'full_bathrooms', 'rooms', 'total_area', 'operation', 'property_type', 'food_and_drinks_stores', 'spa', 'transport_facilities', 'parking', 'school_universities', 'airports', 'hospitals', 'retail_stores', 'laundry', 'gym', 'pet_services', 'car_services', 'culture_and_entertainment', 'house_services', 'public_forces', 'banks_atms', 'green_spaces', 'funerary_services', 'dist_to_popular_neighborhood', 'Cocheras', 'Cantidad de pisos', 'Disposición', 'Antigüedad', 'img_count', 'description', 'real_neighborhood', 'Antigüedad_discretizada', 'has_pool', 'has_terrace', 'has_jacuzzi', 'has_washer', 'has_gym', 'has_cochera', 'has_amenities', 'has_elevator', 'has_parquet_floor', 'has_security', 'has_service_dependency', 'is_luminous', 'is_recycled', 'needs_recycling', 'has_underfloor_heating', 'was_revaluated', 'allows_pets', 'tipo_inmueble', 'comuna_caba', 'avg_crime', 'close_places', 'expensas_discretizadas']",3,5,"{'criterion': 'squared_error', 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",19460.92114571346,802021579.0658131,28319.985506101748
